Reaction,MinFlux,MaxFlux
AD_FAEL205,0,3.55101826325121e-05
AD_FAH3,0,4.36191897714923e-05
AD_FALDH,-1000,1000
AD_FAOXC140,0,0.000262528144953459
AD_FAOXC150m,0,0
AD_FAOXC160,0,0.000223193962166793
AD_FAOXC16080m,0,0.000354082705854353
AD_FAOXC16080x,0,0.000291955592103932
AD_FAOXC161802m,0,0.000472605054710584
AD_FAOXC16180m,0,0.000472589428148022
AD_FAOXC170m,0,0
AD_FAOXC180,0,218.941633496328
AD_FAOXC180x,0,1.94095541423492e-05
AD_FAOXC1811601m,0,0.000351847860628141
AD_FAOXC1811602m,0,0.000194144083568659
AD_FAOXC1811603m,0,0.00047335337436986
AD_FAOXC182806m,0,0.000574733664620908
AD_FAOXC18280m,0,0.000223049363611949
AD_FAOXC183803m,0,0.000825764835923337
AD_FAOXC183806m,0,0.000355542690499533
AD_FAOXC183806x,0,2.76740534417286e-05
AD_FAOXC18480m,0,0.00150095992901811
AD_FAOXC18480x,0,3.98207011647056e-05
AD_FAOXC200180m,0,7.09256912430007e-05
AD_FAOXC200180x,0,1.94069734231921e-05
AD_FAOXC2031836m,0,3.517068646867e-05
AD_FAOXC204,0,2.53628743749346e-05
AD_FAOXC204184m,0,3.42947992535869e-05
AD_FAOXC2051843m,0,0.00150175007721032
AD_FAOXC2051843x,0,4.09729050820928e-05
AD_FAOXC2242046m,0,1.82065563537584e-05
AD_FAOXC2242046x,0,1.92522785398011e-05
AD_FAOXC2251836m,0,1.73796934248571e-05
AD_FAOXC2251836x,0,1.92009912628861e-05
AD_FAOXC2252053m,0,1.69860349100242e-05
AD_FAOXC2252053x,0,1.92009529477162e-05
AD_FAOXC226,0,0.000430165745029853
AD_FAOXC226205m,147.698327926752,147.716852882798
AD_FAOXC226205x,0,3.98043607875431e-05
AD_FAOXC240200x,0,1.94611423973739e-05
AD_FAOXC241181x,0,1.17819683206714e-05
AD_FAOXC260240x,0,1.94095545045903e-05
AD_FAOXC80,0,0.000600539966825409
AD_FAS100COA,0,1.79887703348201e-05
AD_FAS120COA,0,1.78484672595918e-05
AD_FAS140COA,0,3.5715018759298e-05
AD_FAS160COA,0,3.53177759677692e-05
AD_FAS180COA,0,3.57079989043996e-05
AD_FAS80COA_L,0,1.18544528712619e-05
AD_FATP1t,-265.093688360361,1000
AD_FATP2t,-1000,1000
AD_FATP3t,-1000,1000
AD_FATP8t,-1.9406972254172e-05,6.23865101303522e-05
AD_FBA4,0,5.02100512787303e-06
AD_FBP26,0,3.67263788207464e-05
AD_FCLTm,0,4.61677848331849e-06
AD_FDH,0,5.05984731842903e-05
AD_FE2t,0,1000
AD_FE3R2e,0,0.00065344662049327
AD_FOLR2,0,868.178656986129
AD_FOLt2,-1000,868.17865655534
AD_FORt2m,-1.03195968717496e-05,0
AD_FORtr,-4.40431879900061e-06,0
AD_FPGS2,0,1.22614546095671e-05
AD_FPGS2m,0,1.48462092965929e-05
AD_FPGS3,0,1.22614546095671e-05
AD_FPGS3m,0,1.48462092965929e-05
AD_FPGS4,0,1.22090401456868e-05
AD_FPGS4m,0,1.33606895457323e-05
AD_FPGS5,0,1.22090401456868e-05
AD_FPGS5m,0,1.33606895457323e-05
AD_FPGS6,0,1.22090401456868e-05
AD_FPGS6m,0,1.33606895457323e-05
AD_FPGS7m,0,1.03195968717496e-05
AD_FPGS8,0,1.92977590418657e-05
AD_FPGS8m,0,1.03195968717496e-05
AD_FPGS9,0,1.92977590418657e-05
AD_FPGS9m,0,1.03195968717496e-05
