Reaction,EssentialityDrop,FluxSpan,ImportanceScore
r0633,3.42868212313699e-05,1.25869382827659e-06,793816.474076751
r0634,3.42868212313699e-05,4.76438572150073e-07,2094438.47126882
r0636,3.42868212313699e-05,1.22199821817048e-06,817634.644369838
r0653,3.42868212313699e-05,6.96480339001937e-06,143553.53678393
r0661,3.42868212313699e-05,1.19492131034349e-06,836146.746888858
r0714,3.42868212313699e-05,6.96480339001937e-06,143553.53678393
r0723,3.42868212313699e-05,1.19492131034349e-06,836146.746888858
r0724,3.42868212313699e-05,2.01370085051167e-07,4941272.38680529
r0727,3.42868212313699e-05,1.23343386349006e-06,810060.176372355
r0728,3.42868212313699e-05,5.01117938256357e-07,1991495.69651151
r0729,3.42868212313699e-05,1.23343386349006e-06,810060.176372355
r0730,3.42868212313699e-05,1.25868515965522e-06,793821.936786543
r0731,3.42868212313699e-05,1.25868515965522e-06,793821.936786543
r0732,3.42868212313699e-05,1.25868515965522e-06,793821.936786543
r1253,3.42868212313699e-05,4.25418953398093e-07,2345031.11367385
r1254,3.42868212313699e-05,1.59592163129219e-06,626183.335227054
r1445,3.42868212313699e-05,1.19492113981323e-06,836146.866117722
r1472,3.42868212313699e-05,1.19917442020778e-06,833183.657593408
r1474,3.42868212313699e-05,1.19917442020778e-06,833183.657593408
r1477,3.42868212313699e-05,1.19917442020778e-06,833183.657593408
r1487,3.42868212313699e-05,1.59592277526599e-06,626182.886653495
